Match ID,Map ID,Team 1 ID,Team 1,Team 2 ID,Team 2,Event,Mode,Map,Map Number,Team 1 Score,Team 2 Score,Map Winner,Map VOD
bo4-lasvegas-losers4-match-1,bo4-lasvegas-losers4-match-1-map-4,12,Team Envy,23,Lightning Pandas,CWL Las Vegas 2019,Hardpoint,Seaside,4,172,250,Lightning Pandas,
bo4-lasvegas-losers4-match-2,bo4-lasvegas-losers4-match-2-map-1,6,Evil Geniuses,75,Team Reciprocity,CWL Las Vegas 2019,Hardpoint,,1,,,,
bo4-lasvegas-losers4-match-2,bo4-lasvegas-losers4-match-2-map-2,6,Evil Geniuses,75,Team Reciprocity,CWL Las Vegas 2019,Search and Destroy,,2,,,,
bo4-lasvegas-losers4-match-2,bo4-lasvegas-losers4-match-2-map-3,6,Evil Geniuses,75,Team Reciprocity,CWL Las Vegas 2019,Control,,3,,,,
bo4-lasvegas-losers4-match-2,bo4-lasvegas-losers4-match-2-map-4,6,Evil Geniuses,75,Team Reciprocity,CWL Las Vegas 2019,Hardpoint,,4,,,Evil Geniuses,
bo4-lasvegas-losers4-match-3,bo4-lasvegas-losers4-match-3-map-1,1,Luminosity Gaming,74,100 Thieves,CWL Las Vegas 2019,Hardpoint,Gridlock,1,250,156,Luminosity Gaming,
bo4-lasvegas-losers4-match-3,bo4-lasvegas-losers4-match-3-map-2,1,Luminosity Gaming,74,100 Thieves,CWL Las Vegas 2019,Search and Destroy,Hacienda,2,6,4,Luminosity Gaming,
bo4-lasvegas-losers4-match-3,bo4-lasvegas-losers4-match-3-map-3,1,Luminosity Gaming,74,100 Thieves,CWL Las Vegas 2019,Control,Gridlock,3,2,3,100 Thieves,
bo4-lasvegas-losers4-match-3,bo4-lasvegas-losers4-match-3-map-4,1,Luminosity Gaming,74,100 Thieves,CWL Las Vegas 2019,Hardpoint,Hacienda,4,250,75,Luminosity Gaming,
bo4-lasvegas-losers4-match-4,bo4-lasvegas-losers4-match-4-map-1,70,Str8 Rippin,13,Red Reserve,CWL Las Vegas 2019,Hardpoint,Arsenal,1,186,250,Red Reserve,
bo4-lasvegas-losers4-match-4,bo4-lasvegas-losers4-match-4-map-2,70,Str8 Rippin,13,Red Reserve,CWL Las Vegas 2019,Search and Destroy,Hacienda,2,6,2,Str8 Rippin,
bo4-lasvegas-losers4-match-4,bo4-lasvegas-losers4-match-4-map-3,70,Str8 Rippin,13,Red Reserve,CWL Las Vegas 2019,Control,Gridlock,3,3,1,Str8 Rippin,
bo4-lasvegas-losers4-match-4,bo4-lasvegas-losers4-match-4-map-4,70,Str8 Rippin,13,Red Reserve,CWL Las Vegas 2019,Hardpoint,Gridlock,4,250,239,Str8 Rippin,
bo4-lasvegas-losers5-match-1,bo4-lasvegas-losers5-match-1-map-1,23,Lightning Pandas,6,Evil Geniuses,CWL Las Vegas 2019,Hardpoint,Hacienda,1,250,142,Lightning Pandas,
bo4-lasvegas-losers5-match-1,bo4-lasvegas-losers5-match-1-map-2,23,Lightning Pandas,6,Evil Geniuses,CWL Las Vegas 2019,Search and Destroy,Payload,2,6,4,Lightning Pandas,
bo4-lasvegas-losers5-match-1,bo4-lasvegas-losers5-match-1-map-3,23,Lightning Pandas,6,Evil Geniuses,CWL Las Vegas 2019,Control,Frequency,3,3,0,Lightning Pandas,
bo4-lasvegas-losers5-match-2,bo4-lasvegas-losers5-match-2-map-1,1,Luminosity Gaming,70,Str8 Rippin,CWL Las Vegas 2019,Hardpoint,Frequency,1,250,135,Luminosity Gaming,
bo4-lasvegas-losers5-match-2,bo4-lasvegas-losers5-match-2-map-2,1,Luminosity Gaming,70,Str8 Rippin,CWL Las Vegas 2019,Search and Destroy,Payload,2,3,6,Str8 Rippin,
bo4-lasvegas-losers5-match-2,bo4-lasvegas-losers5-match-2-map-3,1,Luminosity Gaming,70,Str8 Rippin,CWL Las Vegas 2019,Control,Gridlock,3,2,3,Str8 Rippin,
bo4-lasvegas-losers5-match-2,bo4-lasvegas-losers5-match-2-map-4,1,Luminosity Gaming,70,Str8 Rippin,CWL Las Vegas 2019,Hardpoint,Arsenal,4,250,94,Luminosity Gaming,
bo4-lasvegas-losers5-match-2,bo4-lasvegas-losers5-match-2-map-5,1,Luminosity Gaming,70,Str8 Rippin,CWL Las Vegas 2019,Search and Destroy,Hacienda,5,6,1,Luminosity Gaming,
bo4-lasvegas-winners2-match-1,bo4-lasvegas-winners2-match-1-map-1,52,Team Sween,7,Splyce,CWL Las Vegas 2019,Hardpoint,Hacienda,1,150,250,Splyce,
bo4-lasvegas-winners2-match-1,bo4-lasvegas-winners2-match-1-map-2,52,Team Sween,7,Splyce,CWL Las Vegas 2019,Search and Destroy,Arsenal,2,1,6,Splyce,
bo4-lasvegas-winners2-match-1,bo4-lasvegas-winners2-match-1-map-3,52,Team Sween,7,Splyce,CWL Las Vegas 2019,Control,Gridlock,3,1,3,Splyce,
bo4-lasvegas-winners2-match-2,bo4-lasvegas-winners2-match-2-map-1,5,eUnited,9,OpTic Gaming,CWL Las Vegas 2019,Hardpoint,Seaside,1,245,250,OpTic Gaming,
