Match ID,Map ID,Event,Team ID,Team,Opponent ID,Opponent,Mode,Map,Player ID,Player,Score,Kills,Deaths,K/D,Engagements,Difference,Damage,Map Result,Total Hill Time,P1 Time,P2 Time,P3 Time,P4 Time,P5 Time,First Bloods,First Deaths,Bombs Planted,Bombs Defused,Avg SnD Kills/Round,Avg SnD Dmg/Round,Tiers Captured,Offense Kills,Offense OBJ Kills,Defense Kills,Defense OBJ Kills,Avg Control Dmg/Round
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-3,CDL Champs 2021,117.0,OpTic Chicago,112.0,Toronto Ultra,Control,Raid,23,Envoy,2940.0,26,24,1.08,50,2,5254.0,Win,,,,,,,,,,,,,5.0,12.0,8.0,14.0,5.0,1050.8
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-3,CDL Champs 2021,117.0,OpTic Chicago,112.0,Toronto Ultra,Control,Raid,21,FORMAL,4270.0,29,27,1.07,56,2,5878.0,Win,,,,,,,,,,,,,5.0,17.0,6.0,12.0,10.0,1175.6
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-4,CDL Champs 2021,112.0,Toronto Ultra,117.0,OpTic Chicago,Hardpoint,Raid,34,Bance,2955.0,17,19,0.89,36,-2,3310.0,Win,115.0,20.0,12.0,20.0,0.0,63.0,,,,,,,,,,,,
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-4,CDL Champs 2021,112.0,Toronto Ultra,117.0,OpTic Chicago,Hardpoint,Raid,33,Cammy,2445.0,22,22,1.0,44,0,3977.0,Win,67.0,0.0,14.0,37.0,16.0,0.0,,,,,,,,,,,,
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-4,CDL Champs 2021,112.0,Toronto Ultra,117.0,OpTic Chicago,Hardpoint,Raid,50,Insight,1465.0,14,16,0.88,30,-2,2381.0,Win,71.0,0.0,36.0,11.0,24.0,0.0,,,,,,,,,,,,
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-4,CDL Champs 2021,112.0,Toronto Ultra,117.0,OpTic Chicago,Hardpoint,Raid,36,CleanX,1610.0,19,28,0.68,47,-9,4319.0,Win,62.0,0.0,34.0,16.0,7.0,5.0,,,,,,,,,,,,
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-4,CDL Champs 2021,117.0,OpTic Chicago,112.0,Toronto Ultra,Hardpoint,Raid,22,Dashy,2390.0,24,19,1.26,43,5,3869.0,Loss,43.0,9.0,0.0,29.0,5.0,0.0,,,,,,,,,,,,
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-4,CDL Champs 2021,117.0,OpTic Chicago,112.0,Toronto Ultra,Hardpoint,Raid,24,Scump,5980.0,27,15,1.8,42,12,4764.0,Loss,22.0,5.0,2.0,0.0,15.0,0.0,,,,,,,,,,,,
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-4,CDL Champs 2021,117.0,OpTic Chicago,112.0,Toronto Ultra,Hardpoint,Raid,23,Envoy,1325.0,14,22,0.64,36,-8,2312.0,Loss,87.0,31.0,32.0,0.0,23.0,1.0,,,,,,,,,,,,
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-4,CDL Champs 2021,117.0,OpTic Chicago,112.0,Toronto Ultra,Hardpoint,Raid,21,FORMAL,2560.0,20,16,1.25,36,4,4114.0,Loss,159.0,54.0,0.0,58.0,47.0,0.0,,,,,,,,,,,,
cw-champs-losers2-match-2,cw-champs-losers2-match-2-map-1,CDL Champs 2021,110.0,New York Subliners,109.0,Minnesota RØKKR,Hardpoint,Garrison,41,Asim,1210.0,11,26,0.42,37,-15,2953.0,Loss,20.0,0.0,19.0,0.0,1.0,0.0,,,,,,,,,,,,
cw-champs-losers2-match-2,cw-champs-losers2-match-2-map-1,CDL Champs 2021,110.0,New York Subliners,109.0,Minnesota RØKKR,Hardpoint,Garrison,44,Mack,1280.0,16,23,0.7,39,-7,3554.0,Loss,28.0,8.0,8.0,0.0,12.0,0.0,,,,,,,,,,,,
cw-champs-losers2-match-2,cw-champs-losers2-match-2-map-1,CDL Champs 2021,110.0,New York Subliners,109.0,Minnesota RØKKR,Hardpoint,Garrison,58,Hydra,1170.0,16,18,0.89,34,-2,2838.0,Loss,33.0,0.0,32.0,0.0,1.0,0.0,,,,,,,,,,,,
cw-champs-losers2-match-2,cw-champs-losers2-match-2-map-1,CDL Champs 2021,110.0,New York Subliners,109.0,Minnesota RØKKR,Hardpoint,Garrison,42,Clayster,1265.0,13,25,0.52,38,-12,2982.0,Loss,50.0,3.0,47.0,0.0,0.0,0.0,,,,,,,,,,,,
cw-champs-losers2-match-2,cw-champs-losers2-match-2-map-1,CDL Champs 2021,109.0,Minnesota RØKKR,110.0,New York Subliners,Hardpoint,Garrison,8,Priestahh,3525.0,26,17,1.53,43,9,3841.0,Win,104.0,21.0,0.0,4.0,33.0,46.0,,,,,,,,,,,,
cw-champs-losers2-match-2,cw-champs-losers2-match-2-map-1,CDL Champs 2021,109.0,Minnesota RØKKR,110.0,New York Subliners,Hardpoint,Garrison,7,MajorManiak,1930.0,20,12,1.67,32,8,3724.0,Win,38.0,12.0,5.0,11.0,7.0,3.0,,,,,,,,,,,,
cw-champs-losers2-match-2,cw-champs-losers2-match-2-map-1,CDL Champs 2021,109.0,Minnesota RØKKR,110.0,New York Subliners,Hardpoint,Garrison,6,Attach,2525.0,19,13,1.46,32,6,3351.0,Win,45.0,23.0,0.0,7.0,15.0,0.0,,,,,,,,,,,,
