Match ID,Season Match Number,Team 1 ID,Team 1,Team 2 ID,Team 2,Event,Date,Team 1 Score,Team 2 Score,Winner,Match VOD
cw-s2w3-groupplay-match-1,67,107.0,Florida Mutineers,105.0,Dallas Empire,Stage 2 Week 3,4/1/21,0,3,Dallas Empire,https://youtu.be/rF4JPRQ3C7Q?t=1
cw-s2w3-groupplay-match-2,68,106.0,Seattle Surge,117.0,OpTic Chicago,Stage 2 Week 3,4/1/21,0,3,OpTic Chicago,https://youtu.be/RbYt6eapC5c?t=1
cw-s2w3-groupplay-match-3,69,111.0,London Royal Ravens,112.0,Toronto Ultra,Stage 2 Week 3,4/2/21,0,3,Toronto Ultra,https://youtu.be/VqOoBQs50YE?t=1
cw-s2w3-groupplay-match-4,70,108.0,Los Angeles Guerrillas,115.0,Atlanta FaZe,Stage 2 Week 3,4/2/21,3,2,Los Angeles Guerrillas,https://youtu.be/cryc9UQtIys?t=1
cw-s2w3-groupplay-match-5,71,113.0,Paris Legion,107.0,Florida Mutineers,Stage 2 Week 3,4/3/21,3,1,Paris Legion,https://youtu.be/r6iQj91pv5Y?t=1
cw-s2w3-groupplay-match-6,72,106.0,Seattle Surge,109.0,Minnesota RØKKR,Stage 2 Week 3,4/3/21,2,3,Minnesota RØKKR,https://youtu.be/zg8g6rPsjok?t=1
cw-s2w3-groupplay-match-7,73,112.0,Toronto Ultra,110.0,New York Subliners,Stage 2 Week 3,4/3/21,1,3,New York Subliners,https://youtu.be/ScMb8KzxK20?t=1
cw-s2w3-groupplay-match-8,74,111.0,London Royal Ravens,115.0,Atlanta FaZe,Stage 2 Week 3,4/4/21,0,3,Atlanta FaZe,https://youtu.be/Mky9daj1bMY?t=1
cw-s2w3-groupplay-match-9,75,108.0,Los Angeles Guerrillas,116.0,Los Angeles Thieves,Stage 2 Week 3,4/4/21,3,0,Los Angeles Guerrillas,https://youtu.be/Bwl_kg5MIiM?t=1
cw-s2w3-groupplay-match-10,76,117.0,OpTic Chicago,105.0,Dallas Empire,Stage 2 Week 3,4/4/21,3,2,OpTic Chicago,https://youtu.be/Ciwsgykgmdw?t=1
cw-major2-losers1-match-1,77,116.0,Los Angeles Thieves,113.0,Paris Legion,Major 2,4/7/21,3,0,Los Angeles Thieves,https://youtu.be/Jm8xBObvItE?t=1
cw-major2-losers1-match-2,78,107.0,Florida Mutineers,108.0,Los Angeles Guerrillas,Major 2,4/7/21,3,0,Florida Mutineers,https://youtu.be/z6s_Y1BL144?t=1
cw-major2-winners1-match-1,79,105.0,Dallas Empire,110.0,New York Subliners,Major 2,4/8/21,3,0,Dallas Empire,https://youtu.be/SryXsgY5ChA?t=1
cw-major2-winners1-match-2,80,112.0,Toronto Ultra,117.0,OpTic Chicago,Major 2,4/8/21,3,1,Toronto Ultra,https://youtu.be/9HhRT6JUyMI?t=1
cw-major2-losers2-match-1,81,116.0,Los Angeles Thieves,111.0,London Royal Ravens,Major 2,4/8/21,3,2,Los Angeles Thieves,https://youtu.be/q-Y_Wkvc9UM?t=1
cw-major2-losers2-match-2,82,107.0,Florida Mutineers,106.0,Seattle Surge,Major 2,4/8/21,1,3,Seattle Surge,https://youtu.be/n3dXoi6NmEg?t=1
cw-major2-winners2-match-1,83,105.0,Dallas Empire,109.0,Minnesota RØKKR,Major 2,4/9/21,3,2,Dallas Empire,https://youtu.be/jbK9_i_NP40?t=1
cw-major2-winners2-match-2,84,112.0,Toronto Ultra,115.0,Atlanta FaZe,Major 2,4/9/21,1,3,Atlanta FaZe,https://youtu.be/0d6aUrW8N94?t=1
cw-major2-losers3-match-1,85,106.0,Seattle Surge,117.0,OpTic Chicago,Major 2,4/9/21,1,3,OpTic Chicago,https://youtu.be/nk8fuYzGGlI?t=1
cw-major2-losers3-match-2,86,116.0,Los Angeles Thieves,110.0,New York Subliners,Major 2,4/9/21,3,0,Los Angeles Thieves,https://youtu.be/SYc_CP1HDQM?t=1
cw-major2-losers4-match-1,87,116.0,Los Angeles Thieves,112.0,Toronto Ultra,Major 2,4/10/21,0,3,Toronto Ultra,https://youtu.be/XLnXnwkNOqw?t=1
cw-major2-losers4-match-2,88,117.0,OpTic Chicago,109.0,Minnesota RØKKR,Major 2,4/10/21,2,3,Minnesota RØKKR,https://youtu.be/nfS5K_8h_A0?t=1
cw-major2-winnersfinals-match-1,89,105.0,Dallas Empire,115.0,Atlanta FaZe,Major 2,4/10/21,1,3,Atlanta FaZe,https://youtu.be/QlR7BOWU794?t=1
cw-major2-losers5-match-1,90,112.0,Toronto Ultra,109.0,Minnesota RØKKR,Major 2,4/11/21,3,1,Toronto Ultra,https://youtu.be/W53hrbNGa5I?t=1
cw-major2-losersfinals-match-1,91,112.0,Toronto Ultra,105.0,Dallas Empire,Major 2,4/11/21,3,1,Toronto Ultra,https://youtu.be/pT5DI5i1whY?t=1
cw-major2-grandfinals-match-1,92,112.0,Toronto Ultra,115.0,Atlanta FaZe,Major 2,4/11/21,5,3,Toronto Ultra,https://youtu.be/BfPCQ7CssLg?t=1
cw-s3w1-groupplay-match-1,93,113.0,Paris Legion,105.0,Dallas Empire,Stage 3 Week 1,4/22/21,1,3,Dallas Empire,https://youtu.be/96ZEG-cvQ-I?t=1
cw-s3w1-groupplay-match-2,94,107.0,Florida Mutineers,112.0,Toronto Ultra,Stage 3 Week 1,4/22/21,0,3,Toronto Ultra,https://youtu.be/IdglUNIORbE?t=1
cw-s3w1-groupplay-match-3,95,106.0,Seattle Surge,116.0,Los Angeles Thieves,Stage 3 Week 1,4/23/21,2,3,Los Angeles Thieves,https://youtu.be/k0ex59KY8TA?t=1
cw-s3w1-groupplay-match-4,96,111.0,London Royal Ravens,117.0,OpTic Chicago,Stage 3 Week 1,4/23/21,1,3,OpTic Chicago,https://youtu.be/hw237E96qB4?t=1
cw-s3w1-groupplay-match-5,97,108.0,Los Angeles Guerrillas,113.0,Paris Legion,Stage 3 Week 1,4/24/21,3,0,Los Angeles Guerrillas,https://youtu.be/x2VqZNP7o7s?t=1
cw-s3w1-groupplay-match-6,98,107.0,Florida Mutineers,109.0,Minnesota RØKKR,Stage 3 Week 1,4/24/21,3,1,Florida Mutineers,https://youtu.be/EQLC63BDRQg?t=1
cw-s3w1-groupplay-match-7,99,106.0,Seattle Surge,117.0,OpTic Chicago,Stage 3 Week 1,4/24/21,0,3,OpTic Chicago,https://youtu.be/RbdY0TZlo4A?t=1
cw-s3w1-groupplay-match-8,100,111.0,London Royal Ravens,116.0,Los Angeles Thieves,Stage 3 Week 1,4/25/21,1,3,Los Angeles Thieves,https://youtu.be/89FdhuAIg1o?t=1
cw-s3w1-groupplay-match-9,101,110.0,New York Subliners,115.0,Atlanta FaZe,Stage 3 Week 1,4/25/21,3,2,New York Subliners,https://youtu.be/hUT0jixYEuE?t=1
cw-s3w1-groupplay-match-10,102,105.0,Dallas Empire,112.0,Toronto Ultra,Stage 3 Week 1,4/25/21,0,3,Toronto Ultra,https://youtu.be/9Rqgcu_PNac?t=1
cw-s3w2-groupplay-match-1,103,111.0,London Royal Ravens,110.0,New York Subliners,Stage 3 Week 2,4/29/21,3,2,London Royal Ravens,https://youtu.be/VkKRfx4npPg?t=1
cw-s3w2-groupplay-match-2,104,116.0,Los Angeles Thieves,115.0,Atlanta FaZe,Stage 3 Week 2,4/29/21,2,3,Atlanta FaZe,https://youtu.be/0pSJFl2BJpU?t=1
cw-s3w2-groupplay-match-3,105,108.0,Los Angeles Guerrillas,112.0,Toronto Ultra,Stage 3 Week 2,4/30/21,0,3,Toronto Ultra,https://youtu.be/4VXh7Tcj88Y?t=1
cw-s3w2-groupplay-match-4,106,113.0,Paris Legion,109.0,Minnesota RØKKR,Stage 3 Week 2,4/30/21,1,3,Minnesota RØKKR,https://youtu.be/t4-UUohdF00?t=1
cw-s3w2-groupplay-match-5,107,111.0,London Royal Ravens,115.0,Atlanta FaZe,Stage 3 Week 2,5/1/21,2,3,Atlanta FaZe,https://youtu.be/SB0iIFUgUJM?t=1
cw-s3w2-groupplay-match-6,108,108.0,Los Angeles Guerrillas,105.0,Dallas Empire,Stage 3 Week 2,5/1/21,2,3,Dallas Empire,https://youtu.be/6IPp5HwWMLM?t=1
cw-s3w2-groupplay-match-7,109,106.0,Seattle Surge,110.0,New York Subliners,Stage 3 Week 2,5/1/21,0,3,New York Subliners,https://youtu.be/LvPS9urrQrE?t=1
cw-s3w2-groupplay-match-8,110,113.0,Paris Legion,107.0,Florida Mutineers,Stage 3 Week 2,5/2/21,3,1,Paris Legion,https://youtu.be/wV17c5Q_ibs?t=1
cw-s3w2-groupplay-match-9,111,109.0,Minnesota RØKKR,112.0,Toronto Ultra,Stage 3 Week 2,5/2/21,1,3,Toronto Ultra,https://youtu.be/wlrXdrrHhNQ?t=1
